season,team_name_bet,opp_team_name_bet,team_goals,opp_team_goals,Bet365_win_odds,Bet365_draw_odds,Bet365_lose_odds,bet_merge_code
20222023,Chelsea,Bournemouth,2.0,0.0,1.3,5.5,10.0,20222023_1_24_Home
20222023,Man United,Nott'm Forest,3.0,0.0,1.29,5.5,11.0,20222023_14_25_Home
20222023,Leeds,Man City,1.0,3.0,9.5,6.0,1.29,20222023_10_4_Home
20222023,West Ham,Brentford,0.0,2.0,2.0,3.6,3.6,20222023_9_21_Home
20222023,Liverpool,Leicester,2.0,1.0,1.29,6.0,9.5,20222023_3_6_Home
20222023,Wolves,Man United,0.0,1.0,4.0,3.6,1.91,20222023_8_14_Home
20222023,Bournemouth,Crystal Palace,0.0,2.0,2.8,3.3,2.5,20222023_24_16_Home
20222023,Fulham,Southampton,2.0,1.0,1.95,3.6,3.75,20222023_18_7_Home
20222023,Man City,Everton,1.0,1.0,1.13,9.0,19.0,20222023_4_5_Home
20222023,Newcastle,Leeds,0.0,0.0,1.45,4.5,7.0,20222023_15_10_Home
20222023,Brighton,Arsenal,2.0,4.0,3.4,3.5,2.1,20222023_19_11_Home
20222023,Tottenham,Aston Villa,0.0,2.0,1.67,4.0,5.0,20222023_17_20_Home
20222023,Nott'm Forest,Chelsea,1.0,1.0,5.0,3.8,1.7,20222023_25_1_Home
20222023,Brentford,Liverpool,3.0,1.0,5.5,4.33,1.55,20222023_21_3_Home
20222023,Arsenal,Newcastle,0.0,0.0,1.8,3.8,4.33,20222023_11_15_Home
20222023,Everton,Brighton,1.0,4.0,3.5,3.5,2.1,20222023_5_19_Home
20222023,Leicester,Fulham,0.0,1.0,2.2,3.6,3.1,20222023_6_18_Home
20222023,Man United,Bournemouth,3.0,0.0,1.29,5.5,11.0,20222023_14_24_Home
20222023,Southampton,Nott'm Forest,0.0,1.0,2.0,3.5,3.8,20222023_7_25_Home
20222023,Leeds,West Ham,2.0,2.0,2.6,3.5,2.6,20222023_10_9_Home
20222023,Aston Villa,Wolves,1.0,1.0,1.95,3.6,4.0,20222023_20_8_Home
20222023,Crystal Palace,Tottenham,0.0,4.0,3.4,3.5,2.15,20222023_16_17_Home
20222023,Chelsea,Man City,0.0,1.0,5.0,4.0,1.67,20222023_1_4_Home
20222023,Fulham,Chelsea,2.0,1.0,3.3,3.5,2.15,20222023_18_1_Home
20222023,Aston Villa,Leeds,2.0,1.0,1.91,3.6,4.0,20222023_20_10_Home
20222023,Man United,Man City,2.0,1.0,4.2,3.6,1.85,20222023_14_4_Home
20222023,Brighton,Liverpool,3.0,0.0,3.4,3.6,2.1,20222023_19_3_Home
20222023,Everton,Southampton,1.0,2.0,2.25,3.25,3.3,20222023_5_7_Home
20222023,Nott'm Forest,Leicester,2.0,0.0,2.7,3.3,2.63,20222023_25_6_Home
20222023,Wolves,West Ham,1.0,0.0,2.63,3.3,2.7,20222023_8_9_Home
20222023,Brentford,Bournemouth,2.0,0.0,1.65,4.0,5.25,20222023_21_24_Home
20222023,Chelsea,Crystal Palace,1.0,0.0,1.62,4.0,5.25,20222023_1_16_Home
20222023,Newcastle,Fulham,1.0,0.0,1.5,4.33,6.5,20222023_15_18_Home
20222023,Tottenham,Arsenal,0.0,2.0,3.1,3.6,2.2,20222023_17_11_Home
20222023,Crystal Palace,Man United,1.0,1.0,4.5,3.6,1.8,20222023_16_14_Home
20222023,Man City,Tottenham,4.0,2.0,1.36,5.0,8.5,20222023_4_17_Home
20222023,Liverpool,Chelsea,0.0,0.0,1.85,3.75,4.0,20222023_3_1_Home
20222023,Bournemouth,Nott'm Forest,1.0,1.0,2.75,3.1,2.75,20222023_24_25_Home
20222023,Leicester,Brighton,2.0,2.0,3.6,3.5,2.05,20222023_6_19_Home
20222023,Southampton,Aston Villa,0.0,1.0,2.88,3.25,2.55,20222023_7_20_Home
20222023,West Ham,Everton,2.0,0.0,1.8,3.75,4.75,20222023_9_5_Home
20222023,Crystal Palace,Newcastle,0.0,0.0,4.4,3.5,1.85,20222023_16_15_Home
20222023,Leeds,Brentford,0.0,0.0,2.38,3.6,2.88,20222023_10_21_Home
20222023,Man City,Wolves,3.0,0.0,1.2,8.0,11.0,20222023_4_8_Home
20222023,Arsenal,Man United,3.0,2.0,1.8,3.8,4.2,20222023_11_14_Home
20222023,Fulham,Tottenham,0.0,1.0,3.3,3.6,2.1,20222023_18_17_Home
20222023,Chelsea,Fulham,0.0,0.0,1.62,4.0,5.25,20222023_1_18_Home
20222023,Everton,Arsenal,1.0,0.0,8.5,4.5,1.4,20222023_5_11_Home
20222023,Aston Villa,Leicester,2.0,4.0,1.95,3.6,3.8,20222023_20_6_Home
20222023,Brentford,Southampton,3.0,0.0,1.85,3.6,4.2,20222023_21_7_Home
20222023,Brighton,Bournemouth,1.0,0.0,1.33,5.25,8.5,20222023_19_24_Home
20222023,Man United,Crystal Palace,2.0,1.0,1.4,4.75,8.0,20222023_14_16_Home
20222023,Wolves,Liverpool,3.0,0.0,4.0,3.8,1.85,20222023_8_3_Home
