code_player,web_name,now_cost,new_team_name,element_type,minutes,points_total,goals,xg,finishing,xgfinish,xg_points,assists,xa,assist_quality,xaquality,xcsp90,xcs_points,xa_points,x_points
466117.0,Ahamada,45.0,Crystal Palace,3.0,87.0,7.0,0.0,0.15,,,,0.0,0.02,,,0.16774,0.1459338,,
469142.0,Van Hecke,40.0,Brighton,2.0,289.0,5.0,0.0,0.55,,,,0.0,0.04,,,0.12328,1.4251168,,
472464.0,Shoretire,45.0,Man Utd,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
476344.0,Durán,50.0,Aston Villa,4.0,126.0,11.0,0.0,0.59,,,,0.0,0.02,,,-0.03818,0.0,,
476502.0,Traoré,45.0,Wolves,3.0,25.0,2.0,0.0,0.0,,,,0.0,0.0,,,0.21454,0.053635,,
477580.0,Zabarnyi,45.0,Bournemouth,2.0,297.0,7.0,0.0,0.0,,,,0.0,0.01,,,0.2473,2.937924,,
478912.0,Chukwuemeka,45.0,Chelsea,3.0,299.0,15.0,0.0,0.24,,,,0.0,0.6,,,0.11158,0.3336242,,
479683.0,Marquinhos,45.0,Arsenal,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
480455.0,Branthwaite,40.0,Everton,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
481405.0,Bidstrup,45.0,Brentford,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
481624.0,Philogene-Bidace,45.0,Aston Villa,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
482442.0,Sarr,45.0,Spurs,3.0,211.0,14.0,0.0,0.06,,,,1.0,0.03,,,0.03202,0.0675622,,
482769.0,Perrone,45.0,Man City,3.0,18.0,1.0,0.0,0.0,,,,0.0,0.01,,,0.3877,0.069786,,
484658.0,Kozłowski,45.0,Brighton,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
487818.0,Whitworth,40.0,Crystal Palace,1.0,180.0,3.0,0.0,0.0,,,,0.0,0.0,,,0.36664,2.639808,,
487837.0,Mubama,45.0,West Ham,4.0,33.0,2.0,0.0,0.0,,,,0.0,0.01,,,-0.01712,0.0,,
488404.0,Pellistri,45.0,Man Utd,3.0,60.0,4.0,0.0,0.0,,,,0.0,0.02,,,0.33622,0.201732,,
490094.0,Iroegbunam,45.0,Aston Villa,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
493250.0,Amad,45.0,Man Utd,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
503300.0,Cox,40.0,Brentford,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
509416.0,Ayari,45.0,Brighton,3.0,65.0,3.0,0.0,0.02,,,,0.0,0.3,,,0.13966,0.090779,,
516895.0,Mainoo,45.0,Man Utd,3.0,10.0,1.0,0.0,0.0,,,,0.0,0.07,,,0.0835,0.00835,,
532605.0,Andrey Santos,45.0,Chelsea,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
564510.0,Kuol,45.0,Newcastle,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
591357.0,Trevitt,45.0,Brentford,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
232653.0,Ramsey,60.0,Aston Villa,3.0,1614.0,88.0,4.0,3.96,1.2765957446808511,5.05531914893617,25.27659574468085,5.0,2.33,1.8181818181818181,4.236363636363636,0.28708,4.6334712,16.945454545454545,79.1355214901354
144485.0,Toney,80.0,Brentford,4.0,1513.0,82.0,8.0,9.15,1.0447761194029852,9.559701492537314,38.23880597014926,1.0,2.32,1.0975609756097562,2.546341463414634,0.29878,0.0,10.185365853658537,78.68417182380779
230046.0,Douglas Luiz,55.0,Aston Villa,3.0,1906.0,100.0,5.0,2.55,1.4545454545454546,3.709090909090909,18.545454545454543,4.0,2.04,1.9298245614035088,3.936842105263158,0.30112,5.7393472,15.747368421052633,78.15217016650718
