season,Div,Date,Time,team_name_bet,opp_team_name_bet,team_goals,opp_team_goals,result,HT_team_goals,HT_opp_team_goals,HT_result,Referee,team_shots,opp_team_shots,team_SoT,opp_team_SoT,team_fouls,opp_team_fouls,team_corners,opp_team_corners,team_yellows,opp_team_yellows,team_reds,opp_team_reds,Bet365_win_odds,Bet365_draw_odds,Bet365_lose_odds,Market_max_win_odds,Market_max_draw_odds,Market_max_lose_odds,Market_avg_win_odds,Market_avg_draw_odds,Market_avg_lose_odds,Bet365_over2_5_goals_odds,Bet365_under2_5_goals_odds,Market_max_over2_5_goals_odds,Market_max_under2_5_goals_odds,Market_avg_over2_5_goals_odds,Market_avg_under2_5_goals_odds,venue,bet_team_code_recoded,bet_opp_team_code_recoded,bet_merge_code
20222023,E0,2022-08-27,15:00,Man City,Crystal Palace,4.0,2.0,H,0.0,2.0,A,D England,18.0,2.0,5.0,2.0,14.0,8.0,6.0,1.0,1.0,2.0,0.0,0.0,1.18,7.5,13.0,1.22,8.2,18.0,1.19,7.56,15.25,1.44,2.75,1.5,2.87,1.45,2.77,Home,4,16,20222023_4_16_Home
20222023,E0,2022-08-27,17:30,Arsenal,Fulham,2.0,1.0,H,0.0,0.0,D,J Gillett,22.0,11.0,8.0,3.0,6.0,12.0,9.0,2.0,2.0,3.0,0.0,0.0,1.3,5.75,9.0,1.36,6.1,10.0,1.32,5.77,9.44,1.5,2.62,1.54,2.75,1.49,2.62,Home,11,18,20222023_11_18_Home
20222023,E0,2022-08-28,14:00,Aston Villa,West Ham,0.0,1.0,A,0.0,0.0,D,D Coote,9.0,7.0,3.0,2.0,10.0,10.0,3.0,2.0,2.0,0.0,0.0,0.0,2.3,3.4,3.1,2.41,3.6,3.3,2.3,3.43,3.18,1.91,1.99,1.94,2.01,1.88,1.95,Home,20,9,20222023_20_9_Home
20222023,E0,2022-08-28,14:00,Wolves,Newcastle,1.0,1.0,D,1.0,0.0,H,P Bankes,10.0,21.0,4.0,6.0,10.0,11.0,4.0,13.0,2.0,1.0,0.0,0.0,2.7,3.3,2.7,2.86,3.46,2.79,2.75,3.26,2.7,2.1,1.72,2.19,1.84,2.11,1.75,Home,8,15,20222023_8_15_Home
20222023,E0,2022-08-28,16:30,Nott'm Forest,Tottenham,0.0,2.0,A,0.0,1.0,A,C Pawson,17.0,18.0,1.0,7.0,11.0,13.0,6.0,1.0,6.0,1.0,0.0,0.0,7.0,4.6,1.44,7.5,4.8,1.51,6.98,4.59,1.47,1.72,2.1,1.79,2.2,1.74,2.12,Home,25,17,20222023_25_17_Home
20222023,E0,2022-08-30,19:30,Crystal Palace,Brentford,1.0,1.0,D,0.0,0.0,D,S Hooper,13.0,9.0,4.0,3.0,11.0,8.0,4.0,6.0,1.0,2.0,0.0,0.0,2.05,3.4,3.6,2.16,3.58,3.9,2.1,3.42,3.72,2.1,1.72,2.17,1.84,2.09,1.77,Home,16,21,20222023_16_21_Home
20222023,E0,2022-08-30,19:30,Fulham,Brighton,2.0,1.0,H,0.0,0.0,D,T Bramall,10.0,7.0,3.0,4.0,9.0,11.0,3.0,3.0,2.0,1.0,0.0,0.0,3.1,3.3,2.3,3.44,3.45,2.4,3.21,3.35,2.33,2.01,1.89,2.08,1.9,2.01,1.83,Home,18,19,20222023_18_19_Home
20222023,E0,2022-08-30,19:45,Southampton,Chelsea,2.0,1.0,H,2.0,1.0,H,M Oliver,9.0,10.0,7.0,4.0,15.0,10.0,5.0,3.0,2.0,1.0,0.0,0.0,5.25,4.0,1.61,5.5,4.3,1.69,5.22,4.16,1.65,1.72,2.1,1.81,2.17,1.75,2.11,Home,7,1,20222023_7_1_Home
20222023,E0,2022-08-30,20:00,Leeds,Everton,1.0,1.0,D,0.0,1.0,A,D England,14.0,7.0,5.0,2.0,10.0,9.0,10.0,2.0,3.0,3.0,0.0,0.0,2.15,3.5,3.3,2.18,3.72,3.58,2.14,3.57,3.46,1.87,2.03,1.91,2.07,1.84,1.99,Home,10,5,20222023_10_5_Home
20222023,E0,2022-08-31,19:30,Arsenal,Aston Villa,2.0,1.0,H,1.0,0.0,H,R Jones,22.0,4.0,9.0,3.0,10.0,14.0,10.0,3.0,2.0,3.0,0.0,0.0,1.45,4.5,6.0,1.5,4.8,7.5,1.47,4.63,7.0,1.72,2.1,1.82,2.17,1.75,2.11,Home,11,20,20222023_11_20_Home
