,season,round,kickoff_time,team_name,opp_team_name,value,points_scaled,elo,elo_team,elo_opp
27036,20202021,35.0,2021-05-11T17:00:00Z,Man Utd,Leicester,2.3636363636363638,-0.6027186420960289,"[1055.4737650785455, 1036.2159682854312]",1055.4737650785455,1036.2159682854312
46181,20202021,35.0,2021-05-11T19:15:00Z,Crystal Palace,Southampton,2.0,-0.80009199562459,"[950.4130332004238, 963.1847917584614]",950.4130332004238,963.1847917584614
17466,20202021,35.0,2021-05-11T19:15:00Z,Southampton,Crystal Palace,5.1,0.8825158432063925,"[964.3982464267945, 949.1995785320908]",964.3982464267945,949.1995785320908
15074,20202021,35.0,2021-05-12T19:15:00Z,Arsenal,Chelsea,5.7272727272727275,1.2229848780431607,"[1008.5684464871331, 1061.4184558139523]",1008.5684464871331,1061.4184558139523
717,20202021,35.0,2021-05-12T19:15:00Z,Chelsea,Arsenal,2.0,-0.80009199562459,"[1055.0605292813016, 1014.9263730197838]",1055.0605292813016,1014.9263730197838
3112,20202021,35.0,2021-05-13T17:00:00Z,Everton,Aston Villa,4.545454545454546,0.5815214790753374,"[1021.1910608934792, 1006.6309790092722]",1021.1910608934792,1006.6309790092722
19862,20202021,35.0,2021-05-13T17:00:00Z,Aston Villa,Everton,4.5,0.556849809884267,"[1007.2184137304911, 1020.6036261722603]",1007.2184137304911,1020.6036261722603
34222,20202021,35.0,2021-05-13T19:15:00Z,Liverpool,Man Utd,4.454545454545454,0.5321781406931967,"[1023.9369908958283, 1054.5758759677892]",1023.9369908958283,1054.5758759677892
29437,20202021,35.0,2021-05-13T19:15:00Z,Man Utd,Liverpool,2.5454545454545454,-0.5040319653317484,"[1049.8291523444263, 1028.6837145191912]",1049.8291523444263,1028.6837145191912
36617,20202021,36.0,2021-05-14T19:00:00Z,Man City,Newcastle,5.363636363636363,1.0256115245145994,"[1114.2004065125534, 955.362663855022]",1114.2004065125534,955.362663855022
31832,20202021,36.0,2021-05-14T19:00:00Z,Newcastle,Man City,2.5454545454545454,-0.5040319653317484,"[953.2725092814435, 1116.290561086132]",953.2725092814435,1116.290561086132
12690,20202021,36.0,2021-05-15T11:30:00Z,Leeds,Burnley,7.3,2.076624632054187,"[1007.2173478136873, 978.9185121682203]",1007.2173478136873,978.9185121682203
24654,20202021,36.0,2021-05-15T11:30:00Z,Burnley,Leeds,1.0,-1.3428687178281329,"[972.2264056111355, 1013.9094543707721]",972.2264056111355,1013.9094543707721
46193,20202021,36.0,2021-05-15T14:00:00Z,Fulham,Southampton,2.272727272727273,-0.6520619804781691,"[942.2319361368397, 968.5639223298191]",942.2319361368397,968.5639223298191
22264,20202021,36.0,2021-05-15T14:00:00Z,Southampton,Fulham,3.4,-0.04020458453963009,"[965.7675906871636, 945.0282677794952]",965.7675906871636,945.0282677794952
55767,20202021,36.0,2021-05-15T19:00:00Z,Brighton,West Ham,2.909090909090909,-0.3066586118031874,"[992.0347941857556, 1020.7065364034039]",992.0347941857556,1020.7065364034039
10301,20202021,36.0,2021-05-15T19:00:00Z,West Ham,Brighton,2.1818181818181817,-0.7014053188603095,"[1015.2133129450796, 997.5280176440799]",1015.2133129450796,997.5280176440799
3124,20202021,36.0,2021-05-16T11:00:00Z,Crystal Palace,Aston Villa,4.181818181818182,0.3841481255467761,"[949.9764546034359, 1006.441537659146]",949.9764546034359,1006.441537659146
17481,20202021,36.0,2021-05-16T11:00:00Z,Aston Villa,Crystal Palace,2.6363636363636362,-0.45468862694960827,"[1001.4066933535082, 955.0112989090736]",1001.4066933535082,955.0112989090736
